States,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount,District
assam,2021,4,TOTAL,760610,1900609318.3116775,bongaigaon district
assam,2021,4,TOTAL,188499,461001023.11421907,dima hasao district
assam,2021,4,TOTAL,575080,1530357403.5627034,baksa district
assam,2021,4,TOTAL,255415,657528333.4175942,charaideo district
assam,2021,4,TOTAL,772608,2012722511.547618,darrang district
assam,2021,4,TOTAL,22903930,48177919267.3695,kamrup metropolitan district
assam,2021,4,TOTAL,494043,1131182051.5056129,hailakandi district
assam,2021,4,TOTAL,2145496,5341626359.64399,barpeta district
assam,2021,4,TOTAL,920783,2590433257.901761,goalpara district
assam,2021,4,TOTAL,368466,837297984.1361362,biswanath district
assam,2021,4,TOTAL,760505,1488025280.2612674,jorhat district
assam,2021,2,TOTAL,606143,1318534292.5264628,tinsukia district
assam,2021,2,TOTAL,361975,751021666.6941358,lakhimpur district
assam,2021,2,TOTAL,737877,1686926641.0395198,kamrup district
assam,2021,2,TOTAL,291109,760467202.4006457,kokrajhar district
assam,2021,2,TOTAL,275847,664132421.6116567,karbi anglong district
assam,2021,2,TOTAL,303100,635897961.4545786,sivasagar district
assam,2021,2,TOTAL,870918,1976153977.7728927,dibrugarh district
assam,2021,2,TOTAL,213176,702484951.4538276,south salmara mancachar district
assam,2021,2,TOTAL,928187,2446953429.3994994,nagaon district
assam,2021,2,TOTAL,528440,1316708576.7981756,dhubri district
assam,2021,2,TOTAL,382567,828266419.210104,golaghat district
assam,2021,2,TOTAL,229956,535712130.36414516,udalguri district
assam,2021,2,TOTAL,44407,85365999.51292944,majuli district
assam,2021,2,TOTAL,848080,1929013770.5926275,sonitpur district
assam,2021,2,TOTAL,285880,717552682.8425927,hojai district
assam,2021,2,TOTAL,452067,1213004303.8796182,marigaon district
assam,2021,2,TOTAL,173228,416705187.85423946,chirang district
assam,2021,2,TOTAL,743120,1680050955.980187,cachar district
assam,2021,2,TOTAL,265787,614926960.4062058,nalbari district
assam,2021,2,TOTAL,51169,93322156.33253612,west karbi anglong district
assam,2021,2,TOTAL,299375,707439590.8525485,dhemaji district
assam,2021,2,TOTAL,376322,1008636324.5592346,karimganj district
assam,2021,2,TOTAL,445957,1107075859.5018854,bongaigaon district
assam,2021,2,TOTAL,127333,291445306.00893736,dima hasao district
assam,2021,2,TOTAL,333425,874733682.7849679,baksa district
assam,2021,2,TOTAL,169721,406368639.266593,charaideo district
assam,2021,2,TOTAL,373027,991719331.0625447,darrang district
assam,2021,2,TOTAL,12113618,26948905679.328754,kamrup metropolitan district
assam,2021,2,TOTAL,258553,622102715.3474636,hailakandi district
assam,2021,2,TOTAL,1094358,2927546915.4449625,barpeta district
assam,2021,2,TOTAL,544911,1475602701.2507868,goalpara district
assam,2021,2,TOTAL,255222,546335899.8896878,biswanath district
assam,2021,2,TOTAL,448050,911359043.2389444,jorhat district
assam,2021,1,TOTAL,480161,1160430411.7091098,tinsukia district
assam,2021,1,TOTAL,278213,669614741.670135,lakhimpur district
assam,2021,1,TOTAL,557802,1450662971.6951797,kamrup district
assam,2021,1,TOTAL,228889,627990382.7904459,kokrajhar district
assam,2021,1,TOTAL,217934,608528765.1323997,karbi anglong district
assam,2021,1,TOTAL,242611,602350918.9850893,sivasagar district
assam,2021,1,TOTAL,680608,1710571109.9822497,dibrugarh district
assam,2021,1,TOTAL,134708,477352228.40615606,south salmara mancachar district
assam,2021,1,TOTAL,675634,2019926209.3789358,nagaon district
assam,2021,1,TOTAL,362613,1035861131.4318309,dhubri district
assam,2021,1,TOTAL,311238,749087184.8333428,golaghat district
assam,2021,1,TOTAL,173233,451305008.43282115,udalguri district
assam,2021,1,TOTAL,34915,74357604.61004795,majuli district
assam,2021,1,TOTAL,669242,1689369790.428941,sonitpur district
assam,2021,1,TOTAL,220269,591418708.8113766,hojai district
assam,2021,1,TOTAL,298011,918760114.9692955,marigaon district
assam,2021,1,TOTAL,127192,321319197.07738817,chirang district
assam,2021,1,TOTAL,614703,1577581912.6812966,cachar district
assam,2021,1,TOTAL,197323,506378435.7122495,nalbari district
assam,2021,1,TOTAL,41137,84887268.51304872,west karbi anglong district
assam,2021,1,TOTAL,231336,615209792.8336076,dhemaji district
assam,2021,1,TOTAL,304173,916185934.3111196,karimganj district
assam,2021,1,TOTAL,321020,874996649.1810182,bongaigaon district
assam,2021,1,TOTAL,104846,283821933.22303617,dima hasao district
assam,2021,1,TOTAL,260583,764921383.8988845,baksa district
assam,2021,1,TOTAL,138143,380869059.4350337,charaideo district
assam,2021,1,TOTAL,259665,757825643.4042199,darrang district
assam,2021,1,TOTAL,9400818,24003716533.697937,kamrup metropolitan district
assam,2021,1,TOTAL,189886,515905421.9034898,hailakandi district
assam,2021,1,TOTAL,768249,2378951523.3799787,barpeta district
assam,2021,1,TOTAL,400249,1203600745.3463283,goalpara district
assam,2021,1,TOTAL,197774,446301042.8269607,biswanath district
assam,2021,1,TOTAL,388882,856404785.4295708,jorhat district
assam,2020,3,TOTAL,442335,839411510.8503457,tinsukia district
assam,2020,3,TOTAL,258450,431917438.40076566,lakhimpur district
assam,2020,3,TOTAL,445726,878646586.9277797,kamrup district
assam,2020,3,TOTAL,169456,354873433.7407801,kokrajhar district
assam,2020,3,TOTAL,186352,377558923.84267277,karbi anglong district
assam,2020,3,TOTAL,213330,375381648.79175025,sivasagar district
assam,2020,3,TOTAL,526945,1106487215.771987,dibrugarh district
assam,2020,3,TOTAL,76074,203318061.94884482,south salmara mancachar district
assam,2020,3,TOTAL,535675,1153926434.0592713,nagaon district
assam,2020,3,TOTAL,265528,574593610.2092601,dhubri district
assam,2020,3,TOTAL,278714,484885427.85811895,golaghat district
assam,2020,3,TOTAL,154549,312073789.4753115,udalguri district
assam,2020,3,TOTAL,39125,56123804.82257187,majuli district
assam,2020,3,TOTAL,540972,1164586118.8388221,sonitpur district
assam,2020,3,TOTAL,175557,355628836.03412914,hojai district
assam,2020,3,TOTAL,230540,512119251.2560668,marigaon district
assam,2020,3,TOTAL,102868,192241344.00140762,chirang district
assam,2020,3,TOTAL,487493,920279966.2377985,cachar district
assam,2020,3,TOTAL,175078,305820367.27784514,nalbari district
assam,2020,3,TOTAL,40408,63195580.4849911,west karbi anglong district
assam,2020,3,TOTAL,206214,411442432.54643184,dhemaji district
assam,2020,3,TOTAL,249302,504923538.1515511,karimganj district
assam,2020,3,TOTAL,227984,476147034.02800435,bongaigaon district
assam,2020,3,TOTAL,93676,180472116.28952006,dima hasao district
assam,2020,3,TOTAL,208297,442621506.6427143,baksa district
assam,2020,3,TOTAL,130863,244390041.98398152,charaideo district
assam,2020,3,TOTAL,188334,455692195.8874371,darrang district
assam,2020,3,TOTAL,4268591,13346088870.114107,kamrup metropolitan district
assam,2020,3,TOTAL,161126,294342674.92533815,hailakandi district
assam,2020,3,TOTAL,553783,1306355860.1566281,barpeta district
assam,2020,3,TOTAL,277508,630486618.2775412,goalpara district
assam,2020,3,TOTAL,171570,332570734.95310086,biswanath district
assam,2020,3,TOTAL,315288,542788284.757088,jorhat district
assam,2020,4,TOTAL,543941,1209737013.9697673,tinsukia district
assam,2020,4,TOTAL,304251,620709324.0849249,lakhimpur district
