States,Transaction_Year,Quarters,RegisteredUsers,AppOpens,District
assam,2020,3,47910,766195,hailakandi district
assam,2020,3,150166,2675659,barpeta district
assam,2020,3,75578,1281064,goalpara district
assam,2020,3,44880,748906,biswanath district
assam,2020,3,99517,1241686,jorhat district
assam,2020,4,124067,2044463,tinsukia district
assam,2020,4,82304,1208709,lakhimpur district
assam,2020,4,136799,2263290,kamrup district
assam,2020,4,55442,831589,kokrajhar district
assam,2020,4,53550,865117,karbi anglong district
assam,2020,4,70764,985812,sivasagar district
assam,2020,4,147001,2185614,dibrugarh district
assam,2020,4,25767,461378,south salmara mancachar district
assam,2020,4,185101,2590478,nagaon district
assam,2020,4,93699,1419145,dhubri district
assam,2020,4,91426,1283646,golaghat district
assam,2020,4,52866,748487,udalguri district
assam,2020,4,12611,173169,majuli district
assam,2020,4,146796,2528689,sonitpur district
assam,2020,4,59718,908307,hojai district
assam,2020,4,80980,1049790,marigaon district
assam,2020,4,32930,498786,chirang district
assam,2020,4,158821,2380532,cachar district
assam,2020,4,63327,865519,nalbari district
assam,2020,4,11694,178676,west karbi anglong district
assam,2020,4,63658,988867,dhemaji district
assam,2020,4,82813,1250498,karimganj district
assam,2020,4,74693,1260414,bongaigaon district
assam,2020,4,22405,399205,dima hasao district
assam,2020,4,69004,1015876,baksa district
assam,2020,4,37521,552515,charaideo district
assam,2020,4,65570,976895,darrang district
assam,2020,4,546458,9734289,kamrup metropolitan district
assam,2020,4,52612,811007,hailakandi district
assam,2020,4,164341,3023683,barpeta district
assam,2020,4,83715,1529884,goalpara district
assam,2020,4,49320,836646,biswanath district
assam,2020,4,108380,1470839,jorhat district
assam,2020,2,101864,1668470,tinsukia district
assam,2020,2,67007,1141597,lakhimpur district
assam,2020,2,112992,2029206,kamrup district
assam,2020,2,44618,746407,kokrajhar district
assam,2020,2,42365,704248,karbi anglong district
assam,2020,2,57871,850780,sivasagar district
assam,2020,2,121028,1736840,dibrugarh district
assam,2020,2,20692,445406,south salmara mancachar district
assam,2020,2,151932,2224207,nagaon district
assam,2020,2,76285,1307482,dhubri district
assam,2020,2,74590,1168928,golaghat district
assam,2020,2,43018,732117,udalguri district
assam,2020,2,10284,174833,majuli district
assam,2020,2,121435,2028604,sonitpur district
assam,2020,2,48810,763670,hojai district
assam,2020,2,68225,934292,marigaon district
assam,2020,2,26719,500443,chirang district
assam,2020,2,129067,1825831,cachar district
assam,2020,2,52390,870449,nalbari district
assam,2020,2,9203,172903,west karbi anglong district
assam,2020,2,51815,892291,dhemaji district
assam,2020,2,65059,976163,karimganj district
assam,2020,2,60981,1000552,bongaigaon district
assam,2020,2,17777,330959,dima hasao district
assam,2020,2,56270,1002538,baksa district
assam,2020,2,31083,496594,charaideo district
assam,2020,2,54024,882509,darrang district
assam,2020,2,457023,5403172,kamrup metropolitan district
assam,2020,2,42932,684891,hailakandi district
assam,2020,2,135525,2542827,barpeta district
assam,2020,2,67465,1208665,goalpara district
assam,2020,2,39933,684129,biswanath district
assam,2020,2,90601,1172921,jorhat district
assam,2020,1,86763,1282869,tinsukia district
assam,2020,1,56008,785121,lakhimpur district
assam,2020,1,95973,1613524,kamrup district
assam,2020,1,36818,569117,kokrajhar district
assam,2020,1,35507,514264,karbi anglong district
assam,2020,1,49024,644624,sivasagar district
assam,2020,1,104663,1399074,dibrugarh district
assam,2020,1,16486,297348,south salmara mancachar district
assam,2020,1,129371,1719084,nagaon district
assam,2020,1,62477,923560,dhubri district
assam,2020,1,62401,835307,golaghat district
assam,2020,1,35735,504891,udalguri district
assam,2020,1,8656,118586,majuli district
assam,2020,1,105050,1716133,sonitpur district
assam,2020,1,41444,575026,hojai district
assam,2020,1,59197,772607,marigaon district
assam,2020,1,21489,347015,chirang district
assam,2020,1,111470,1644803,cachar district
assam,2020,1,44217,630077,nalbari district
assam,2020,1,7470,109574,west karbi anglong district
assam,2020,1,43124,632345,dhemaji district
assam,2020,1,54439,737148,karimganj district
assam,2020,1,51420,810199,bongaigaon district
assam,2020,1,14831,249950,dima hasao district
assam,2020,1,46215,701915,baksa district
assam,2020,1,26316,377000,charaideo district
assam,2020,1,45755,657310,darrang district
assam,2020,1,412013,6969131,kamrup metropolitan district
assam,2020,1,36398,486497,hailakandi district
assam,2020,1,116286,2018667,barpeta district
assam,2020,1,56285,932263,goalpara district
assam,2020,1,33906,505636,biswanath district
assam,2020,1,78731,1017227,jorhat district
assam,2019,3,68999,940075,tinsukia district
assam,2019,3,43745,580514,lakhimpur district
assam,2019,3,75174,1202400,kamrup district
assam,2019,3,28222,410393,kokrajhar district
assam,2019,3,27576,388526,karbi anglong district
assam,2019,3,38799,495555,sivasagar district
assam,2019,3,84029,1106406,dibrugarh district
assam,2019,3,12313,196200,south salmara mancachar district
assam,2019,3,100993,1357385,nagaon district
assam,2019,3,48953,674502,dhubri district
assam,2019,3,48408,622326,golaghat district
assam,2019,3,27337,380596,udalguri district
assam,2019,3,6865,92041,majuli district
assam,2019,3,83930,1274025,sonitpur district
assam,2019,3,32322,442802,hojai district
assam,2019,3,45437,613396,marigaon district
assam,2019,3,16353,257049,chirang district
assam,2019,3,88048,1168889,cachar district
assam,2019,3,34518,464062,nalbari district
assam,2019,3,5535,80298,west karbi anglong district
assam,2019,3,33556,463218,dhemaji district
assam,2019,3,41329,492814,karimganj district
assam,2019,3,40554,601208,bongaigaon district
assam,2019,3,11373,190991,dima hasao district
assam,2019,3,35085,504197,baksa district
assam,2019,3,20638,284649,charaideo district
assam,2019,3,36124,498460,darrang district
assam,2019,3,340588,5813918,kamrup metropolitan district
assam,2019,3,28317,319292,hailakandi district
assam,2019,3,92001,1577070,barpeta district
assam,2019,3,44056,703191,goalpara district
assam,2019,3,26488,380892,biswanath district
assam,2019,3,63858,816333,jorhat district
assam,2019,4,76944,1015570,tinsukia district
assam,2019,4,49491,616172,lakhimpur district
assam,2019,4,84609,1278995,kamrup district
assam,2019,4,32148,460273,kokrajhar district
assam,2019,4,31228,424320,karbi anglong district
assam,2019,4,43561,522021,sivasagar district
assam,2019,4,93614,1152765,dibrugarh district
assam,2019,4,14211,222989,south salmara mancachar district
assam,2019,4,114296,1357393,nagaon district
assam,2019,4,54923,713290,dhubri district
assam,2019,4,54950,666975,golaghat district
assam,2019,4,31160,395736,udalguri district
assam,2019,4,7711,94343,majuli district
assam,2019,4,93662,1375822,sonitpur district
assam,2019,4,36550,468480,hojai district
assam,2019,4,51825,607080,marigaon district
assam,2019,4,18613,269863,chirang district
assam,2019,4,98890,1236647,cachar district
assam,2019,4,38957,498791,nalbari district
assam,2019,4,6422,83505,west karbi anglong district
assam,2019,4,38177,500330,dhemaji district
assam,2019,4,47162,535115,karimganj district
assam,2019,4,45540,630254,bongaigaon district
assam,2019,4,12935,198193,dima hasao district
assam,2019,4,40329,544230,baksa district
assam,2019,4,23256,302692,charaideo district
assam,2019,4,40457,506992,darrang district
assam,2019,4,373761,5975606,kamrup metropolitan district
assam,2019,4,32200,336955,hailakandi district
assam,2019,4,103248,1619152,barpeta district
assam,2019,4,49622,744226,goalpara district
assam,2019,4,29959,407200,biswanath district
assam,2019,4,70809,837474,jorhat district
assam,2019,2,60548,283819,tinsukia district
assam,2019,2,38140,171210,lakhimpur district
assam,2019,2,65883,353221,kamrup district
assam,2019,2,25095,120739,kokrajhar district
assam,2019,2,24186,115110,karbi anglong district
assam,2019,2,33791,143808,sivasagar district
assam,2019,2,74342,328867,dibrugarh district
assam,2019,2,10692,58308,south salmara mancachar district
assam,2019,2,79322,381734,nagaon district
assam,2019,2,43396,201797,dhubri district
assam,2019,2,42168,177570,golaghat district
assam,2019,2,23656,109522,udalguri district
assam,2019,2,6014,27261,majuli district
assam,2019,2,73717,367930,sonitpur district
assam,2019,2,28419,131855,hojai district
assam,2019,2,31422,172117,marigaon district
assam,2019,2,14323,71919,chirang district
assam,2019,2,76533,332069,cachar district
assam,2019,2,30036,136170,nalbari district
assam,2019,2,4626,22384,west karbi anglong district
assam,2019,2,29292,132321,dhemaji district
assam,2019,2,35478,147310,karimganj district
assam,2019,2,35569,171730,bongaigaon district
assam,2019,2,9658,55650,dima hasao district
assam,2019,2,30435,144736,baksa district
assam,2019,2,18223,83612,charaideo district
assam,2019,2,32039,141959,darrang district
assam,2019,2,299219,1650827,kamrup metropolitan district
assam,2019,2,24737,93387,hailakandi district
assam,2019,2,80544,465607,barpeta district
assam,2019,2,38784,195857,goalpara district
assam,2019,2,23128,117521,biswanath district
assam,2019,2,56713,242399,jorhat district
assam,2019,1,51108,0,tinsukia district
assam,2019,1,31154,0,lakhimpur district
assam,2019,1,54910,0,kamrup district
assam,2019,1,21029,0,kokrajhar district
assam,2019,1,20131,0,karbi anglong district
assam,2019,1,28059,0,sivasagar district
assam,2019,1,62656,0,dibrugarh district
assam,2019,1,8674,0,south salmara mancachar district
assam,2019,1,66306,0,nagaon district
assam,2019,1,36652,0,dhubri district
assam,2019,1,34918,0,golaghat district
assam,2019,1,19336,0,udalguri district
assam,2019,1,4861,0,majuli district
assam,2019,1,62218,0,sonitpur district
assam,2019,1,23708,0,hojai district
assam,2019,1,26319,0,marigaon district
assam,2019,1,11867,0,chirang district
assam,2019,1,64241,0,cachar district
assam,2019,1,24925,0,nalbari district
assam,2019,1,3720,0,west karbi anglong district
assam,2019,1,24052,0,dhemaji district
assam,2019,1,29208,0,karimganj district
assam,2019,1,29773,0,bongaigaon district
assam,2019,1,7915,0,dima hasao district
assam,2019,1,24926,0,baksa district
assam,2019,1,15161,0,charaideo district
assam,2019,1,27070,0,darrang district
assam,2019,1,255112,0,kamrup metropolitan district
assam,2019,1,20697,0,hailakandi district
assam,2019,1,67729,0,barpeta district
assam,2019,1,33006,0,goalpara district
assam,2019,1,19050,0,biswanath district
assam,2019,1,48594,0,jorhat district
tripura,2018,3,5460,0,unakoti district
tripura,2018,3,6816,0,khowai district
tripura,2018,3,10803,0,sepahijala district
tripura,2018,3,9771,0,north tripura district
